Monthly_Income,Total_Spending,Savings_Amount,Groceries_Spending,Transport_Spending,Entertainment_Spending,Utilities_Spending,Loan_Repayment,Insurance,Shopping_Spending,Investment_Amount,Goal_Amount
22753000,12615000,10137000,2076000,1865000,1659000,1291000,1294000,743000,1564000,2122000,50000000
10008000,9192000,816000,1560000,832000,1193000,814000,1797000,718000,1651000,627000,100000000
19922000,14907000,5015000,3777000,1548000,864000,1142000,2764000,968000,2499000,1343000,50000000
13930000,11957000,1973000,3055000,1665000,965000,1336000,1336000,824000,706000,2070000,500000000
14753000,9585000,5168000,2057000,1018000,1389000,926000,1038000,696000,1593000,867000,50000000
18374000,14087000,4287000,3687000,1361000,1808000,1671000,1380000,408000,1203000,2569000,200000000
9386000,6784000,2603000,1346000,712000,851000,502000,1158000,309000,1152000,755000,200000000
16912000,15653000,1259000,3379000,1071000,1208000,1353000,2273000,596000,3019000,2755000,200000000
15832000,13242000,2590000,3224000,1504000,2411000,1504000,1277000,430000,1903000,988000,500000000
17462000,14472000,2991000,2331000,1511000,1938000,1095000,2954000,1039000,1450000,2154000,100000000
16446000,8566000,7880000,1599000,591000,480000,738000,2107000,266000,1824000,961000,20000000
27276000,20385000,6891000,5139000,2893000,2688000,2501000,1837000,915000,1392000,3020000,500000000
11811000,8388000,3424000,2016000,1346000,1326000,491000,998000,388000,637000,1184000,100000000
12345000,11327000,1018000,2152000,1036000,1151000,626000,2439000,711000,2233000,979000,20000000
11884000,7318000,4566000,1348000,466000,605000,611000,1446000,426000,1181000,1235000,100000000
12223000,7595000,4627000,2291000,1330000,839000,496000,614000,537000,1011000,477000,100000000
11813000,8093000,3720000,1649000,996000,442000,557000,1926000,543000,1095000,885000,500000000
20945000,12766000,8179000,3899000,1001000,2134000,1591000,1031000,730000,1235000,1146000,100000000
22103000,12336000,9766000,2833000,1060000,1117000,987000,2063000,931000,2132000,1214000,20000000
12146000,10760000,1387000,2338000,1724000,1514000,1210000,799000,444000,1767000,963000,50000000
10838000,8142000,2696000,1373000,924000,650000,713000,2027000,378000,1158000,919000,50000000
17357000,15406000,1951000,3619000,2049000,2352000,1207000,2211000,1281000,1240000,1448000,200000000
12239000,10697000,1542000,2209000,1129000,1368000,809000,1901000,368000,1504000,1408000,20000000
18165000,11388000,6777000,2529000,1704000,1382000,1070000,1141000,854000,2027000,680000,100000000
16015000,11955000,4060000,2579000,1158000,1983000,922000,1613000,591000,1330000,1778000,200000000
7421000,3989000,3433000,860000,485000,247000,360000,801000,123000,741000,371000,200000000
22738000,20734000,2004000,3238000,3215000,2774000,1425000,5274000,953000,1737000,2118000,200000000
23979000,16352000,7627000,3674000,1325000,1576000,797000,3698000,999000,2748000,1536000,100000000
11936000,8083000,3854000,1432000,1067000,604000,497000,1752000,221000,1286000,1223000,50000000
13061000,8310000,4751000,1897000,586000,496000,553000,1723000,400000,1371000,1285000,200000000
16429000,11620000,4809000,1913000,930000,952000,1134000,2900000,767000,1841000,1183000,1000000000
16672000,10225000,6447000,1871000,1545000,1460000,762000,625000,701000,1230000,2032000,20000000
18293000,12232000,6061000,2658000,806000,1973000,835000,1287000,665000,1528000,2481000,100000000
25051000,21543000,3508000,6146000,1767000,2820000,1473000,1491000,1182000,3943000,2723000,50000000
14115000,12357000,1759000,2427000,1586000,952000,1246000,2423000,1152000,1528000,1043000,50000000
11009000,7011000,3997000,1537000,648000,1045000,423000,1736000,233000,426000,963000,50000000
8103000,5762000,2341000,1424000,679000,484000,320000,1001000,478000,523000,854000,20000000
11345000,10134000,1211000,2385000,761000,1216000,941000,1769000,496000,1793000,774000,200000000
14834000,7769000,7066000,1363000,418000,954000,653000,1576000,267000,1237000,1301000,200000000
23973000,21578000,2395000,5624000,1989000,1448000,2117000,5394000,461000,2093000,2453000,100000000
12412000,7430000,4982000,1895000,811000,912000,730000,1502000,218000,785000,577000,100000000
16119000,12981000,3138000,2570000,1411000,707000,917000,3044000,869000,1760000,1703000,1000000000
14918000,11370000,3548000,2907000,1544000,844000,1216000,1192000,827000,1252000,1589000,200000000
20942000,15682000,5260000,3772000,1603000,1870000,1210000,2303000,532000,2154000,2237000,500000000
27635000,24504000,3131000,7545000,2267000,1991000,1555000,3736000,2298000,2805000,2306000,100000000
12346000,6737000,5609000,1655000,1073000,801000,595000,989000,595000,578000,451000,200000000
12553000,8237000,4316000,2596000,650000,828000,582000,1027000,400000,810000,1344000,20000000
20221000,15008000,5213000,3274000,1269000,1674000,984000,4157000,723000,1591000,1337000,200000000
18409000,15926000,2484000,4020000,2662000,1240000,1134000,3009000,668000,1615000,1578000,200000000
24234000,14477000,9756000,2339000,1095000,1763000,1378000,2192000,823000,2756000,2131000,50000000
17920000,15435000,2485000,3197000,1858000,1083000,1725000,1969000,1161000,2782000,1661000,1000000000
13204000,8976000,4227000,1856000,712000,1151000,619000,2087000,376000,661000,1514000,100000000
17953000,10503000,7450000,2205000,1104000,1275000,684000,1889000,704000,1246000,1395000,100000000
20544000,17288000,3255000,3916000,1915000,2073000,1213000,1134000,1798000,2044000,3194000,50000000
19102000,10333000,8770000,2050000,1610000,1472000,771000,1116000,611000,1645000,1057000,50000000
17536000,12830000,4706000,2417000,1107000,885000,1033000,3225000,761000,2324000,1079000,50000000
20333000,10751000,9582000,2677000,1213000,823000,967000,2636000,457000,1185000,795000,100000000
20846000,13767000,7080000,3445000,2032000,933000,770000,2326000,302000,1674000,2285000,100000000
21911000,16882000,5029000,3303000,1991000,1542000,1240000,2849000,1351000,1921000,2684000,100000000
18244000,13687000,4556000,2915000,1287000,1795000,1194000,2781000,801000,1418000,1496000,500000000
14164000,9661000,4503000,2002000,1162000,718000,609000,2083000,671000,602000,1816000,20000000
15734000,10904000,4829000,2175000,1000000,1335000,702000,2372000,219000,1393000,1709000,50000000
21033000,12663000,8370000,2900000,1538000,1354000,750000,1715000,771000,2267000,1368000,500000000
10915000,7697000,3218000,1495000,435000,408000,448000,1939000,476000,1327000,1168000,20000000
16843000,15647000,1196000,2913000,1851000,1931000,1229000,2110000,723000,2395000,2496000,50000000
13033000,11505000,1529000,2288000,1384000,1874000,1081000,2280000,731000,1075000,793000,100000000
15144000,8562000,6582000,1760000,1344000,1420000,703000,663000,748000,1406000,516000,500000000
21392000,10983000,10409000,2463000,606000,1190000,813000,2047000,242000,2185000,1437000,100000000
15955000,14680000,1275000,3867000,2136000,1123000,1425000,3175000,459000,940000,1556000,100000000
15232000,11227000,4005000,2558000,812000,1167000,714000,1806000,965000,2378000,826000,500000000
8201000,6085000,2116000,1771000,887000,809000,417000,1093000,149000,433000,526000,100000000
18731000,15946000,2785000,3830000,1454000,1394000,1512000,2041000,1177000,3132000,1406000,500000000
18227000,11695000,6533000,2283000,1538000,1573000,1183000,3174000,284000,815000,845000,50000000
25816000,18507000,7310000,3758000,2230000,2560000,1754000,2872000,1319000,2079000,1934000,100000000
13461000,12598000,863000,3805000,1178000,1259000,1442000,1336000,1304000,1033000,1241000,500000000
16096000,12916000,3179000,3371000,1695000,1512000,1080000,932000,948000,978000,2401000,50000000
16247000,9248000,6999000,1370000,667000,1251000,830000,1755000,502000,1545000,1326000,50000000
22887000,12816000,10071000,3499000,1488000,1052000,1047000,2238000,323000,835000,2334000,100000000
14524000,8597000,5927000,2082000,1144000,782000,592000,467000,302000,1561000,1668000,500000000
16395000,13854000,2541000,3311000,993000,915000,1167000,2162000,1264000,3179000,862000,50000000
18039000,11418000,6622000,2379000,1141000,935000,571000,2615000,780000,2137000,859000,1000000000
15933000,8120000,7813000,1245000,877000,683000,492000,1879000,185000,1409000,1351000,200000000
12768000,11809000,959000,3037000,1211000,913000,904000,924000,1047000,2942000,831000,100000000
15970000,9205000,6766000,2719000,1625000,561000,635000,835000,508000,646000,1676000,20000000
20368000,10272000,10096000,2791000,1188000,1252000,601000,594000,625000,2323000,898000,100000000
9867000,5987000,3881000,1337000,497000,583000,446000,1628000,193000,386000,917000,100000000
15665000,9489000,6176000,2576000,771000,657000,700000,814000,557000,951000,2465000,200000000
11499000,7933000,3566000,2077000,985000,1286000,494000,677000,436000,587000,1392000,100000000
20975000,19175000,1800000,4106000,1953000,2420000,1269000,2131000,1343000,3606000,2348000,1000000000
7384000,6613000,771000,1200000,531000,515000,461000,1790000,456000,484000,1176000,50000000
12205000,8612000,3593000,2041000,540000,1389000,720000,1910000,539000,956000,517000,500000000
16886000,11565000,5321000,2419000,1228000,867000,911000,1995000,252000,1677000,2216000,100000000
22828000,17115000,5713000,2989000,2181000,1444000,1312000,4107000,589000,2475000,2018000,100000000
14671000,8943000,5728000,1575000,634000,1377000,563000,1862000,292000,695000,1945000,500000000
12224000,6399000,5825000,1095000,706000,436000,622000,1277000,470000,822000,971000,200000000
24406000,22518000,1888000,4747000,3729000,3542000,1945000,1663000,1903000,2597000,2391000,500000000
7760000,4532000,3228000,852000,617000,544000,363000,701000,285000,576000,594000,1000000000
5000000,2946000,2054000,555000,429000,250000,262000,620000,94000,404000,331000,200000000
17200000,12257000,4943000,2168000,1595000,652000,784000,1991000,859000,2421000,1787000,100000000
12490000,9008000,3482000,2437000,730000,599000,802000,538000,321000,1846000,1734000,50000000
9894000,5029000,4865000,1203000,480000,446000,586000,674000,390000,370000,882000,50000000
18542000,10505000,8036000,2168000,1027000,1511000,734000,2635000,696000,830000,905000,50000000
16219000,10869000,5350000,2361000,1078000,870000,804000,1838000,222000,1799000,1898000,200000000
12180000,9837000,2342000,2140000,1360000,536000,902000,1890000,563000,1319000,1127000,200000000
8598000,5183000,3415000,1241000,410000,591000,382000,1019000,196000,917000,428000,200000000
19362000,13367000,5995000,3131000,1588000,1148000,823000,1225000,809000,2035000,2608000,500000000
18251000,13703000,4548000,2547000,1923000,1232000,1131000,852000,721000,2813000,2485000,500000000
14504000,13052000,1452000,3209000,1414000,988000,835000,2066000,915000,1045000,2579000,50000000
24233000,15672000,8561000,3747000,1677000,2218000,1015000,2441000,867000,2824000,883000,500000000
9650000,5405000,4245000,984000,443000,306000,417000,1297000,233000,1102000,624000,200000000
7372000,5309000,2063000,1230000,932000,589000,378000,541000,468000,563000,609000,500000000
11540000,9648000,1892000,2400000,969000,583000,961000,1044000,771000,1046000,1874000,500000000
14772000,8116000,6656000,1654000,1002000,1021000,802000,637000,661000,1345000,994000,100000000
16217000,11207000,5009000,2382000,873000,1028000,922000,1579000,666000,2189000,1568000,200000000
13794000,7007000,6787000,1693000,875000,456000,436000,874000,631000,1607000,436000,500000000
16760000,8633000,8127000,2173000,710000,904000,519000,965000,528000,1224000,1610000,50000000
8742000,6271000,2471000,1726000,521000,795000,664000,748000,215000,1104000,498000,100000000
22219000,14091000,8128000,3429000,1177000,1135000,1055000,1462000,319000,2746000,2768000,50000000
14589000,12843000,1746000,2859000,770000,1939000,801000,1746000,974000,1298000,2456000,20000000
20586000,15872000,4715000,2566000,1747000,1422000,1490000,2568000,1063000,2837000,2178000,200000000
16714000,11771000,4943000,2345000,1125000,1584000,826000,1744000,958000,1132000,2058000,100000000
17284000,11815000,5469000,2646000,1698000,1310000,841000,761000,843000,1665000,2051000,100000000
17849000,12918000,4931000,2693000,661000,1674000,1207000,1653000,714000,2326000,1990000,50000000
17239000,8933000,8306000,2240000,494000,952000,462000,1993000,286000,1152000,1356000,50000000
18214000,16424000,1789000,3729000,2645000,1309000,1643000,1339000,1062000,1222000,3476000,50000000
21646000,20547000,1099000,4026000,1183000,2497000,1840000,4510000,870000,3481000,2142000,1000000000
15983000,9297000,6686000,2220000,547000,1397000,579000,1216000,369000,1500000,1469000,1000000000
18545000,10277000,8268000,1995000,820000,1779000,1128000,639000,821000,733000,2361000,500000000
14551000,8216000,6336000,2161000,1459000,654000,780000,1109000,319000,568000,1166000,20000000
22201000,17704000,4496000,3972000,2531000,2120000,1824000,1242000,1123000,1733000,3159000,500000000
11618000,9267000,2351000,2551000,874000,1032000,681000,1699000,590000,708000,1132000,200000000
24005000,21162000,2843000,4220000,2641000,2647000,2241000,2561000,864000,3262000,2725000,500000000
14799000,12407000,2393000,2859000,1161000,1707000,949000,2437000,528000,1608000,1157000,100000000
7846000,5511000,2335000,1123000,773000,568000,447000,1081000,148000,969000,401000,100000000
15641000,12134000,3507000,2281000,728000,1552000,1182000,1881000,282000,1663000,2564000,100000000
11595000,9389000,2206000,1880000,1459000,941000,798000,1801000,231000,977000,1301000,100000000
19203000,14032000,5171000,3174000,1297000,1545000,1217000,3321000,589000,1113000,1777000,100000000
11737000,8381000,3356000,2031000,927000,869000,657000,1083000,749000,536000,1528000,50000000
12769000,10091000,2678000,2114000,961000,748000,924000,1082000,713000,2623000,926000,200000000
5552000,4169000,1383000,977000,604000,394000,406000,630000,136000,360000,661000,500000000
12738000,10061000,2678000,2691000,1274000,728000,994000,746000,804000,1351000,1472000,200000000
5000000,3879000,1121000,927000,448000,409000,320000,482000,231000,723000,339000,500000000
7080000,5832000,1249000,1223000,648000,520000,380000,869000,117000,1025000,1050000,100000000
18802000,14840000,3962000,2569000,1808000,2007000,1423000,2507000,1043000,1273000,2209000,100000000
18929000,13892000,5037000,3512000,2272000,1784000,1148000,1319000,862000,1509000,1484000,1000000000
17127000,13818000,3309000,3129000,1295000,1687000,1479000,905000,910000,1348000,3065000,1000000000
10165000,7139000,3026000,2263000,878000,692000,523000,641000,537000,698000,908000,200000000
14761000,8986000,5775000,1925000,746000,1549000,637000,655000,294000,1354000,1826000,100000000
14982000,7501000,7481000,1585000,752000,478000,665000,1053000,622000,1177000,1168000,100000000
9208000,6924000,2284000,1564000,900000,1110000,405000,958000,265000,1168000,554000,200000000
22517000,17243000,5274000,4370000,2585000,2118000,1253000,2133000,1243000,2150000,1392000,50000000
19387000,18174000,1213000,4444000,2307000,1308000,1549000,1775000,1360000,2738000,2692000,1000000000
13895000,9208000,4687000,2041000,953000,1007000,848000,1524000,470000,594000,1771000,200000000
15134000,10251000,4883000,2372000,1468000,651000,986000,850000,728000,2315000,880000,50000000
16042000,9478000,6564000,2387000,903000,694000,1029000,967000,826000,1879000,791000,100000000
5000000,2659000,2341000,597000,425000,246000,240000,386000,209000,387000,169000,50000000
13764000,11669000,2095000,2952000,1309000,1636000,1234000,1070000,1036000,1342000,1089000,20000000
11590000,7097000,4493000,1092000,788000,450000,493000,1558000,331000,1399000,987000,200000000
9992000,7734000,2258000,1686000,936000,880000,610000,1386000,352000,1284000,599000,50000000
13594000,11005000,2590000,3041000,1730000,1654000,623000,1558000,604000,646000,1148000,100000000
23988000,17081000,6907000,4087000,1808000,2067000,1501000,1544000,1184000,2322000,2569000,200000000
18204000,16281000,1923000,5117000,1869000,1730000,1161000,1929000,622000,1418000,2435000,50000000
12144000,8497000,3647000,2115000,975000,652000,640000,776000,752000,732000,1854000,500000000
17863000,11222000,6641000,2882000,1371000,858000,1301000,1365000,351000,835000,2258000,50000000
21997000,19868000,2129000,3494000,2662000,2842000,1924000,3103000,697000,3534000,1611000,200000000
19623000,17420000,2204000,4242000,2822000,2223000,1364000,1953000,963000,1731000,2121000,500000000
15298000,8778000,6520000,1995000,627000,977000,710000,2271000,352000,958000,889000,20000000
11765000,6020000,5745000,1527000,710000,403000,501000,1621000,281000,382000,595000,50000000
18491000,9994000,8497000,2476000,1577000,798000,992000,2124000,451000,578000,998000,50000000
16967000,10672000,6296000,2601000,627000,1375000,532000,2214000,378000,1766000,1179000,100000000
19476000,18259000,1217000,4403000,2177000,2146000,1585000,2213000,938000,3268000,1529000,200000000
18176000,13656000,4520000,2756000,1953000,2092000,725000,2618000,720000,1535000,1257000,100000000
20248000,13525000,6723000,2808000,2201000,2357000,1037000,968000,764000,951000,2439000,50000000
12324000,11090000,1233000,1896000,973000,1247000,729000,2321000,659000,1596000,1670000,200000000
21587000,15195000,6392000,4083000,903000,1305000,929000,3167000,662000,3251000,896000,100000000
15988000,10262000,5726000,2248000,883000,1066000,1082000,1652000,538000,1882000,911000,100000000
25376000,23436000,1940000,5627000,2468000,1711000,2185000,4646000,1142000,1609000,4048000,100000000
11554000,10194000,1360000,2987000,748000,1781000,1010000,637000,274000,1772000,985000,100000000
23680000,20830000,2850000,5773000,1787000,2299000,2452000,3447000,735000,1671000,2665000,100000000
15990000,11681000,4309000,2177000,1512000,1434000,939000,2723000,810000,889000,1195000,100000000
11743000,10043000,1700000,1746000,1268000,1479000,961000,1040000,503000,1222000,1823000,100000000
12581000,7306000,5275000,1491000,1127000,1107000,481000,1541000,201000,733000,624000,100000000
13398000,10155000,3243000,1697000,663000,1202000,794000,1336000,508000,2075000,1882000,50000000
17121000,16140000,980000,3631000,1284000,1230000,1468000,2362000,807000,3150000,2209000,50000000
17614000,11113000,6501000,1835000,1571000,795000,1104000,2347000,410000,1078000,1973000,50000000
12131000,10402000,1729000,2041000,1123000,913000,602000,2135000,389000,1790000,1409000,1000000000
14878000,10723000,4155000,2245000,1566000,1741000,600000,999000,375000,1280000,1916000,50000000
25711000,13316000,12395000,2479000,2173000,2049000,1440000,1537000,685000,1973000,979000,100000000
23638000,19935000,3703000,4623000,3084000,1506000,1160000,3336000,1006000,3043000,2177000,500000000
17182000,9894000,7287000,2586000,1067000,823000,602000,1806000,590000,1541000,879000,20000000
15190000,11911000,3279000,3054000,1128000,1515000,989000,1997000,1065000,1204000,958000,200000000
15600000,8401000,7199000,1586000,852000,778000,596000,1681000,248000,1499000,1162000,500000000
18068000,16732000,1335000,3856000,1928000,1049000,1553000,3448000,763000,1522000,2613000,50000000
9886000,6241000,3645000,1601000,598000,622000,518000,938000,384000,1071000,510000,500000000
13713000,8254000,5459000,1916000,1018000,1166000,620000,466000,423000,1321000,1324000,200000000
6657000,3715000,2942000,738000,256000,628000,260000,385000,258000,788000,402000,500000000
16996000,15733000,1263000,3879000,2104000,1742000,1290000,2424000,593000,1949000,1752000,20000000
18236000,14960000,3276000,2533000,748000,1597000,948000,3313000,817000,2205000,2799000,20000000
12584000,10492000,2092000,3169000,1296000,937000,713000,2123000,416000,815000,1023000,50000000
22870000,16575000,6295000,3095000,2366000,2158000,1691000,2712000,478000,2897000,1177000,1000000000
8871000,6331000,2540000,1654000,400000,377000,369000,1327000,476000,1113000,615000,500000000
7678000,4219000,3459000,1113000,460000,325000,379000,363000,219000,504000,857000,100000000
16122000,12123000,3999000,3001000,1203000,923000,1740000,1448000,799000,1769000,1240000,100000000
20235000,12366000,7869000,3127000,1762000,1119000,745000,1505000,957000,1352000,1799000,50000000
23420000,22008000,1412000,3379000,2839000,2877000,1318000,5305000,1334000,1355000,3600000,50000000
12706000,10907000,1798000,1623000,1354000,1400000,674000,2127000,573000,1376000,1779000,50000000
20393000,13987000,6407000,2615000,1850000,1571000,871000,2502000,426000,2515000,1637000,200000000
14807000,8412000,6395000,2067000,1025000,1032000,729000,1063000,270000,1242000,984000,200000000
14137000,12064000,2072000,2575000,887000,988000,866000,2084000,634000,1775000,2255000,100000000
19418000,10776000,8643000,2364000,925000,1177000,1145000,1277000,682000,2290000,915000,500000000
18262000,10687000,7575000,2311000,1050000,1302000,979000,1947000,460000,1382000,1256000,20000000
7118000,4237000,2881000,1095000,483000,442000,420000,593000,106000,452000,646000,20000000
22383000,16800000,5582000,4196000,2356000,1081000,977000,1361000,1121000,2861000,2848000,500000000
21900000,18707000,3194000,4122000,1738000,2967000,1406000,2224000,1588000,3065000,1597000,100000000
11872000,7615000,4257000,1376000,479000,549000,446000,1311000,585000,1494000,1374000,200000000
16979000,9136000,7843000,1471000,905000,550000,770000,1739000,410000,1701000,1591000,100000000
17470000,12387000,5083000,3228000,990000,1472000,762000,1042000,534000,2891000,1469000,100000000
16303000,13640000,2663000,2564000,1821000,877000,1378000,3229000,1153000,765000,1853000,20000000
12248000,7346000,4902000,1346000,824000,865000,592000,1646000,482000,767000,824000,100000000
11642000,6973000,4669000,1494000,776000,713000,490000,1217000,149000,901000,1233000,20000000
14872000,13775000,1097000,2903000,895000,1202000,1221000,2967000,871000,1529000,2186000,100000000
20864000,19390000,1474000,4293000,3042000,3042000,1595000,2002000,451000,3084000,1881000,50000000
17718000,16756000,962000,3121000,822000,2178000,985000,3848000,553000,2586000,2663000,50000000
13147000,11352000,1795000,2207000,1157000,855000,899000,1454000,340000,2012000,2429000,500000000
18858000,11026000,7832000,2282000,1445000,1530000,911000,1060000,396000,1455000,1947000,1000000000
5000000,2977000,2023000,662000,189000,296000,291000,616000,171000,536000,217000,20000000
20744000,13548000,7196000,3576000,871000,1867000,949000,1834000,566000,2494000,1391000,500000000
6301000,4053000,2249000,754000,238000,537000,373000,977000,104000,638000,431000,500000000
13188000,12270000,917000,2571000,1479000,891000,1238000,1943000,669000,2350000,1129000,100000000
9402000,8039000,1362000,1822000,1114000,927000,508000,660000,499000,1533000,975000,100000000
8527000,7041000,1485000,1634000,763000,985000,564000,1746000,168000,473000,708000,100000000
20804000,12143000,8661000,2915000,1400000,1044000,855000,1942000,925000,2359000,704000,200000000
12661000,11513000,1149000,3141000,1083000,743000,762000,1968000,758000,1165000,1892000,50000000
16733000,14600000,2133000,3930000,888000,903000,1546000,2177000,876000,2304000,1976000,20000000
14765000,8470000,6295000,1775000,485000,568000,927000,2022000,407000,1781000,505000,1000000000
17385000,15508000,1877000,3660000,2189000,795000,1234000,1695000,687000,2254000,2994000,500000000
15384000,9577000,5807000,2590000,777000,1066000,1234000,680000,518000,808000,1904000,100000000
8585000,4605000,3980000,961000,810000,432000,444000,808000,146000,675000,330000,20000000
19981000,15897000,4085000,2828000,1042000,957000,1228000,3689000,388000,2888000,2877000,1000000000
12531000,9952000,2579000,2025000,1380000,1352000,870000,1230000,453000,1314000,1329000,20000000
7217000,3917000,3300000,681000,599000,617000,256000,427000,248000,733000,356000,20000000
12859000,8275000,4585000,1532000,784000,1274000,493000,1797000,339000,1538000,517000,50000000
22504000,21306000,1198000,3176000,2508000,1530000,1465000,4167000,1396000,3778000,3286000,200000000
19251000,15503000,3748000,3726000,1327000,1981000,1218000,2139000,668000,1396000,3048000,500000000
13257000,10984000,2273000,2619000,867000,1548000,813000,2335000,623000,1341000,838000,100000000
13254000,7897000,5357000,1945000,654000,1311000,790000,786000,428000,935000,1049000,100000000
13392000,7171000,6221000,1761000,994000,1042000,448000,928000,375000,979000,644000,20000000
25384000,15855000,9529000,3357000,1510000,2565000,1350000,2609000,698000,1054000,2710000,100000000
16910000,10349000,6561000,2765000,902000,913000,815000,1296000,585000,993000,2080000,20000000
17150000,10385000,6765000,2440000,1823000,710000,721000,1137000,324000,2384000,846000,50000000
20151000,11824000,8328000,2234000,1179000,1408000,1359000,1677000,616000,2002000,1350000,20000000
16194000,12285000,3909000,3116000,1752000,1053000,1596000,1018000,890000,1443000,1418000,500000000
13705000,8876000,4829000,1609000,1325000,1333000,486000,1696000,554000,1123000,750000,200000000
14018000,12184000,1834000,2167000,1221000,1205000,1202000,2623000,618000,2172000,976000,100000000
14642000,8533000,6109000,1581000,757000,1274000,676000,1224000,524000,1228000,1269000,500000000
14814000,10504000,4310000,2000000,1703000,1633000,977000,1469000,391000,1607000,725000,50000000
18638000,9434000,9205000,1791000,838000,940000,1027000,1412000,222000,1559000,1644000,1000000000
15260000,10938000,4322000,2336000,971000,818000,1070000,3140000,666000,993000,944000,20000000
18663000,9801000,8863000,2614000,968000,773000,994000,1789000,508000,1213000,943000,200000000
14596000,13720000,876000,2318000,1603000,1567000,1278000,2621000,804000,2171000,1359000,100000000
15393000,13173000,2220000,2881000,900000,2203000,912000,1589000,643000,2268000,1775000,50000000
5009000,3609000,1400000,921000,368000,623000,212000,290000,92000,783000,320000,200000000
19582000,10554000,9028000,3016000,1082000,808000,918000,852000,811000,1490000,1577000,200000000
16732000,12827000,3905000,2713000,1071000,943000,1272000,2076000,1100000,1004000,2648000,500000000
19990000,16821000,3170000,4384000,2130000,1001000,1683000,3568000,806000,1058000,2192000,50000000
5000000,2929000,2071000,623000,267000,257000,302000,693000,192000,411000,183000,200000000
25442000,19226000,6216000,3428000,2236000,2669000,1462000,3921000,1064000,2336000,2111000,500000000
14302000,12391000,1911000,2448000,1344000,934000,1171000,3111000,722000,1184000,1478000,100000000
20541000,17372000,3169000,4378000,1489000,2175000,1784000,1254000,1495000,2876000,1920000,100000000
9800000,8442000,1359000,1769000,726000,897000,622000,2095000,608000,829000,894000,100000000
18064000,16180000,1884000,4205000,1298000,1598000,1131000,3525000,1281000,1596000,1545000,1000000000
9733000,8973000,760000,1792000,574000,1154000,837000,878000,262000,1479000,1997000,200000000
11881000,8109000,3772000,1696000,862000,772000,646000,1437000,222000,1477000,997000,500000000
24570000,18574000,5996000,3869000,2456000,1748000,1642000,3190000,1252000,1684000,2733000,100000000
14047000,12021000,2026000,2913000,992000,1770000,903000,1814000,781000,1153000,1695000,500000000
16087000,13090000,2997000,3008000,1630000,1140000,933000,1456000,971000,1869000,2083000,100000000
19350000,18344000,1007000,4376000,2967000,2288000,1710000,2859000,512000,1359000,2272000,50000000
17478000,8847000,8632000,1759000,581000,1474000,993000,990000,546000,952000,1551000,100000000
15752000,10393000,5359000,2610000,1106000,1373000,1086000,744000,549000,2219000,706000,500000000
16825000,10540000,6285000,2264000,1256000,936000,774000,2234000,726000,1795000,555000,20000000
27017000,16698000,10319000,3090000,973000,2223000,1681000,3003000,556000,2778000,2394000,50000000
14712000,8829000,5883000,2336000,1207000,1236000,486000,1158000,386000,509000,1511000,500000000
16005000,13110000,2895000,2992000,2045000,1141000,1286000,1926000,401000,1241000,2078000,50000000
20253000,10899000,9354000,2208000,666000,1363000,835000,2522000,533000,1532000,1242000,100000000
20528000,17114000,3413000,3244000,2588000,1829000,1744000,2231000,1427000,3064000,988000,100000000
20935000,17000000,3935000,3937000,1701000,2553000,974000,2440000,1166000,2910000,1319000,50000000
18194000,11150000,7043000,2163000,837000,1033000,1214000,2640000,840000,1011000,1413000,100000000
9285000,5699000,3586000,1220000,628000,909000,504000,570000,162000,759000,946000,500000000
23167000,18140000,5028000,4207000,1260000,2369000,1367000,4008000,1039000,1758000,2134000,100000000
9268000,7813000,1455000,1730000,797000,665000,525000,1067000,548000,1470000,1011000,200000000
16513000,14770000,1743000,3111000,955000,1690000,1104000,2758000,1292000,2456000,1403000,50000000
11229000,9920000,1309000,2346000,1242000,857000,720000,2096000,801000,1097000,762000,50000000
14679000,13713000,966000,2358000,1276000,835000,859000,3211000,666000,2424000,2085000,500000000
16644000,12676000,3967000,2563000,1264000,749000,1011000,2851000,265000,2446000,1526000,50000000
16607000,15094000,1513000,3634000,1113000,1314000,1451000,1313000,1183000,2009000,3076000,200000000
17110000,14780000,2330000,3488000,1413000,1573000,1626000,1558000,1270000,2511000,1341000,200000000
23069000,20822000,2247000,4589000,1731000,2187000,1588000,3350000,1920000,2483000,2974000,100000000
17268000,8724000,8543000,1928000,1263000,525000,566000,1982000,678000,983000,800000,100000000
13779000,12879000,900000,2790000,1080000,1667000,1078000,2346000,505000,2046000,1366000,100000000
19820000,14134000,5687000,2890000,1541000,890000,789000,3178000,391000,2442000,2014000,50000000
20947000,17998000,2950000,3783000,1609000,1468000,1893000,1233000,1281000,2881000,3849000,50000000
8862000,4938000,3924000,1385000,720000,386000,467000,633000,177000,740000,431000,20000000
17987000,12198000,5789000,2866000,1434000,1406000,1116000,1293000,1064000,2062000,957000,200000000
18506000,11514000,6992000,1925000,1080000,696000,673000,2326000,547000,2010000,2256000,200000000
13512000,8530000,4983000,1617000,1048000,676000,781000,1277000,195000,1502000,1433000,200000000
21879000,12153000,9726000,2819000,1500000,1558000,1616000,868000,475000,1729000,1587000,200000000
14250000,12292000,1958000,2311000,1615000,816000,906000,2502000,458000,2327000,1357000,500000000
15628000,7879000,7749000,1722000,1050000,808000,838000,1045000,531000,447000,1438000,200000000
14135000,9055000,5080000,2066000,1071000,868000,533000,1051000,661000,1211000,1594000,100000000
