Monthly_Income,Total_Spending,Savings_Amount,Groceries_Spending,Transport_Spending,Entertainment_Spending,Utilities_Spending,Loan_Repayment,Insurance,Shopping_Spending,Investment_Amount,Other_Spending,Goal_Amount
16370000,14224000,2146000,1631000,675000,1014000,828000,883000,737000,1063000,1496000,5897000,200000000
20404000,18045000,2359000,3060000,1043000,1093000,636000,1518000,893000,2055000,2036000,5711000,100000000
29683000,24307000,5376000,2932000,1783000,1872000,1017000,1614000,909000,2373000,2423000,9384000,100000000
29087000,23987000,5100000,2996000,1847000,1177000,914000,2065000,781000,3236000,1436000,9535000,500000000
11440000,10677000,763000,1443000,746000,579000,678000,1243000,352000,611000,920000,4105000,1000000000
13674000,11145000,2529000,1375000,939000,1116000,614000,1035000,561000,1031000,773000,3701000,500000000
22221000,19101000,3120000,2113000,1472000,1348000,975000,1412000,688000,2136000,1846000,7111000,200000000
23280000,17581000,5699000,2121000,1721000,1672000,1366000,2634000,504000,1438000,1261000,4864000,200000000
8487000,7268000,1219000,865000,440000,438000,383000,804000,374000,521000,423000,3020000,200000000
19995000,15223000,4772000,1748000,1313000,1450000,910000,2383000,438000,969000,1561000,4451000,200000000
8723000,6884000,1839000,709000,367000,785000,519000,619000,435000,972000,708000,1770000,50000000
28842000,21817000,7025000,3932000,1708000,2012000,962000,1847000,1322000,1552000,1473000,7009000,50000000
14875000,13519000,1356000,1334000,754000,1062000,886000,1054000,724000,1749000,1052000,4904000,50000000
16255000,14362000,1893000,2183000,898000,741000,568000,1737000,731000,1234000,1509000,4761000,500000000
5225000,4349000,876000,710000,283000,314000,231000,317000,120000,619000,424000,1331000,200000000
16370000,15233000,1137000,1926000,694000,1359000,657000,1095000,533000,708000,1319000,6942000,100000000
25219000,20370000,4849000,2564000,1479000,2061000,1479000,2500000,1191000,2153000,2104000,4839000,200000000
19064000,17085000,1979000,1719000,1521000,1261000,850000,1938000,433000,1816000,1163000,6384000,100000000
29330000,26987000,2343000,3859000,1524000,2498000,900000,3435000,855000,2385000,1536000,9995000,500000000
29900000,28053000,1847000,3651000,2076000,1410000,1096000,3546000,1017000,2560000,2512000,10185000,100000000
29539000,25610000,3929000,3718000,1829000,2154000,1268000,2849000,989000,2454000,2621000,7728000,200000000
20389000,18850000,1539000,1643000,1081000,1069000,1025000,1537000,985000,1059000,1911000,8540000,1000000000
14799000,12582000,2217000,2145000,645000,1070000,693000,1209000,471000,1222000,1298000,3829000,50000000
8340000,7241000,1099000,706000,406000,370000,463000,673000,227000,695000,507000,3194000,1000000000
25610000,19869000,5741000,2706000,1825000,2233000,1405000,1975000,854000,1753000,1742000,5376000,200000000
18246000,17068000,1178000,1974000,933000,1447000,871000,1344000,582000,1617000,1584000,6716000,100000000
6848000,5328000,1520000,548000,313000,343000,323000,423000,265000,500000,495000,2118000,50000000
19922000,16077000,3845000,2287000,1061000,1432000,764000,1507000,993000,2000000,1463000,4570000,50000000
29364000,24102000,5262000,3897000,1861000,2289000,1725000,3460000,1073000,1264000,2835000,5698000,200000000
19569000,14774000,4795000,2693000,1333000,988000,632000,2187000,663000,798000,1907000,3573000,200000000
20675000,19438000,1237000,2927000,1147000,923000,867000,1927000,782000,1694000,1771000,7400000,200000000
14308000,12189000,2119000,1633000,857000,824000,713000,909000,707000,1705000,1267000,3574000,100000000
26675000,21451000,5224000,3312000,1552000,1248000,1557000,2974000,1033000,2018000,1490000,6267000,50000000
9017000,7602000,1415000,772000,364000,616000,406000,648000,214000,369000,682000,3531000,200000000
18870000,16717000,2153000,2154000,1053000,1155000,1073000,1664000,894000,1234000,1296000,6194000,100000000
22122000,20900000,1222000,2009000,1405000,1396000,733000,2518000,835000,1712000,939000,9353000,200000000
10750000,8810000,1940000,1138000,675000,722000,494000,789000,266000,1205000,1000000,2521000,100000000
6075000,4720000,1355000,626000,425000,541000,240000,692000,164000,302000,351000,1379000,200000000
26403000,21290000,5113000,2895000,1764000,2103000,1422000,1755000,624000,3009000,2532000,5186000,200000000
16951000,15930000,1021000,2034000,866000,1212000,735000,1950000,828000,1953000,1325000,5027000,50000000
24155000,19561000,4594000,3459000,1213000,1405000,1069000,1814000,534000,2205000,2145000,5717000,20000000
22911000,18386000,4525000,2466000,1342000,947000,732000,1746000,984000,1329000,1547000,7293000,100000000
17867000,14603000,3264000,2656000,1239000,819000,771000,1585000,538000,1482000,916000,4597000,1000000000
7475000,6221000,1254000,995000,327000,572000,242000,555000,168000,787000,691000,1884000,50000000
11166000,9041000,2125000,1293000,870000,653000,435000,910000,369000,766000,971000,2774000,100000000
27450000,22914000,4536000,3433000,1694000,1557000,928000,2336000,549000,3086000,2341000,6990000,100000000
18569000,15861000,2708000,1618000,970000,1568000,743000,1567000,827000,872000,980000,6716000,100000000
27422000,23109000,4313000,3815000,1857000,1761000,1010000,3216000,994000,1771000,1955000,6730000,200000000
27750000,25963000,1787000,3351000,1160000,2358000,1070000,1935000,931000,3315000,1647000,10196000,200000000
7442000,6288000,1154000,1109000,442000,628000,256000,520000,334000,645000,571000,1783000,200000000
9438000,7638000,1800000,1176000,561000,415000,408000,1025000,336000,823000,679000,2215000,100000000
18793000,15998000,2795000,2601000,873000,1640000,844000,1455000,711000,1112000,952000,5810000,100000000
14607000,12249000,2358000,1986000,1074000,640000,805000,805000,649000,1586000,1131000,3573000,200000000
10241000,8164000,2077000,1067000,736000,903000,473000,857000,426000,761000,433000,2508000,20000000
26928000,24820000,2108000,2644000,1242000,1687000,993000,2384000,1071000,2787000,1191000,10821000,1000000000
10481000,8385000,2096000,1154000,572000,818000,546000,977000,431000,1099000,534000,2254000,100000000
28992000,25376000,3616000,3268000,1276000,2183000,1128000,1927000,809000,1565000,2167000,11053000,50000000
29788000,23619000,6169000,2884000,2203000,1964000,1570000,3519000,701000,2387000,2549000,5842000,200000000
9981000,9043000,938000,1424000,528000,708000,415000,1014000,386000,706000,868000,2994000,500000000
26302000,20810000,5492000,3103000,1514000,2301000,1194000,2641000,703000,1378000,1489000,6487000,200000000
10291000,8147000,2144000,1528000,545000,889000,464000,1143000,221000,513000,649000,2195000,200000000
5518000,4888000,630000,754000,289000,401000,324000,286000,152000,241000,298000,2143000,100000000
24659000,19500000,5159000,2932000,1723000,1797000,853000,2291000,1026000,2371000,1040000,5467000,500000000
5798000,5364000,434000,848000,405000,304000,337000,622000,239000,595000,404000,1610000,1000000000
29670000,23383000,6287000,3422000,1801000,2416000,1390000,1555000,1397000,2306000,2157000,6939000,200000000
27989000,25770000,2219000,3977000,1856000,2005000,1674000,2881000,1127000,2382000,2690000,7178000,50000000
7656000,5764000,1892000,804000,463000,623000,361000,913000,254000,467000,633000,1246000,50000000
20999000,17482000,3517000,2236000,864000,1531000,1043000,1922000,584000,2041000,2017000,5244000,100000000
27386000,21735000,5651000,2992000,1168000,1505000,1437000,2183000,1171000,2375000,1555000,7349000,100000000
24652000,20642000,4010000,2915000,1364000,1220000,1347000,2015000,798000,2726000,2058000,6199000,200000000
12340000,10295000,2045000,1465000,864000,541000,547000,1204000,549000,1230000,937000,2958000,1000000000
18237000,15564000,2673000,2093000,1396000,1264000,918000,1639000,831000,757000,1054000,5612000,200000000
21520000,19849000,1671000,2183000,886000,1166000,1043000,2262000,657000,2255000,1133000,8264000,500000000
29108000,26069000,3039000,4218000,1593000,2082000,1229000,2315000,882000,1227000,1673000,10850000,500000000
19467000,14850000,4617000,2359000,953000,836000,1063000,1542000,923000,2046000,1923000,3205000,50000000
23582000,20645000,2937000,2560000,1712000,1386000,844000,2410000,753000,2806000,976000,7198000,100000000
7938000,7452000,486000,997000,586000,421000,278000,756000,327000,623000,748000,2716000,200000000
20287000,16037000,4250000,2714000,979000,1187000,1057000,2119000,636000,1180000,1751000,4414000,200000000
29372000,23713000,5659000,4325000,2010000,1255000,1443000,3293000,1232000,1197000,2133000,6825000,100000000
13999000,12438000,1561000,1609000,970000,1067000,553000,958000,353000,728000,1281000,4919000,500000000
9910000,8679000,1231000,871000,467000,454000,486000,714000,447000,796000,427000,4017000,1000000000
21355000,18189000,3166000,2367000,1225000,870000,1134000,1855000,1057000,2232000,1552000,5897000,100000000
20724000,19097000,1627000,2353000,1343000,1810000,757000,2386000,891000,2274000,1184000,6099000,100000000
14167000,10647000,3520000,2023000,581000,703000,672000,1536000,436000,1341000,575000,2780000,100000000
8303000,7260000,1043000,894000,466000,676000,455000,687000,304000,390000,641000,2747000,200000000
13025000,10139000,2886000,1911000,602000,1149000,551000,1174000,522000,1554000,1035000,1641000,200000000
26132000,20496000,5636000,2978000,1612000,1743000,1232000,2610000,674000,2607000,1972000,5068000,50000000
19501000,17492000,2009000,2889000,1438000,1293000,631000,1689000,556000,1445000,1237000,6314000,100000000
18476000,17259000,1217000,1489000,1127000,1078000,1015000,1051000,814000,1942000,1631000,7112000,50000000
16167000,13911000,2256000,2311000,670000,991000,871000,1208000,782000,1408000,980000,4690000,500000000
8152000,7388000,764000,1183000,336000,523000,356000,435000,230000,719000,621000,2985000,200000000
8210000,7177000,1033000,1209000,527000,391000,276000,795000,201000,966000,819000,1993000,200000000
11737000,8993000,2744000,950000,623000,684000,585000,864000,580000,1222000,1065000,2420000,500000000
7389000,6155000,1234000,680000,465000,597000,349000,751000,219000,451000,581000,2062000,1000000000
28774000,24905000,3869000,3619000,1339000,1413000,1657000,2304000,1247000,1554000,2315000,9457000,20000000
21941000,18239000,3702000,1794000,1559000,1678000,842000,1167000,688000,1180000,1985000,7346000,200000000
19464000,18084000,1380000,1644000,1449000,1413000,603000,1490000,943000,1486000,984000,8072000,200000000
27751000,22143000,5608000,2650000,2097000,1190000,1045000,1812000,1054000,1973000,1294000,9028000,20000000
10282000,8603000,1679000,1191000,536000,423000,440000,668000,334000,784000,548000,3679000,100000000
14825000,11208000,3617000,1753000,985000,854000,514000,1133000,376000,667000,1255000,3671000,200000000
7543000,6571000,972000,622000,386000,563000,448000,894000,209000,424000,650000,2375000,200000000
13034000,11895000,1139000,1198000,919000,737000,478000,1528000,596000,1353000,543000,4543000,500000000
16780000,15339000,1441000,1929000,752000,1231000,845000,1783000,364000,1688000,732000,6015000,200000000
29885000,23266000,6619000,3633000,2107000,2190000,1304000,2008000,738000,2136000,2955000,6195000,100000000
9159000,7857000,1302000,828000,527000,736000,427000,948000,236000,652000,637000,2866000,200000000
14735000,13138000,1597000,1590000,1094000,663000,854000,753000,326000,1631000,1063000,5164000,1000000000
26308000,20844000,5464000,3770000,1830000,1811000,1209000,1419000,1067000,1435000,2019000,6284000,500000000
15167000,12173000,2994000,2274000,835000,654000,594000,1646000,750000,1040000,1484000,2896000,20000000
13411000,10299000,3112000,2000000,1021000,654000,491000,1200000,324000,1356000,665000,2588000,100000000
21052000,16353000,4699000,2983000,1081000,1185000,1195000,1603000,926000,1810000,1642000,3928000,100000000
14036000,13060000,976000,1511000,1104000,1058000,837000,1429000,355000,629000,625000,5512000,100000000
13962000,12784000,1178000,1788000,987000,1238000,524000,810000,687000,572000,989000,5189000,100000000
17851000,15314000,2537000,1949000,1421000,1020000,922000,1251000,629000,741000,1186000,6195000,200000000
13285000,10243000,3042000,1666000,560000,878000,600000,1341000,603000,1229000,745000,2621000,500000000
23827000,19080000,4747000,2422000,1214000,1262000,1214000,1537000,598000,2140000,1583000,7110000,200000000
13389000,12371000,1018000,1639000,933000,988000,789000,1232000,623000,583000,1096000,4488000,100000000
23046000,21019000,2027000,2689000,1772000,1344000,882000,1874000,517000,1165000,2085000,8691000,100000000
6948000,5956000,992000,568000,286000,445000,363000,446000,144000,680000,605000,2419000,100000000
12655000,10280000,2375000,1713000,506000,865000,546000,1420000,522000,820000,950000,2938000,200000000
8882000,8091000,791000,718000,446000,660000,440000,715000,206000,1060000,833000,3013000,500000000
26650000,24873000,1777000,2679000,1975000,1146000,1125000,2450000,1225000,1732000,2175000,10366000,20000000
28822000,27274000,1548000,2318000,2037000,1953000,1477000,1952000,1114000,1927000,2603000,11893000,200000000
13439000,12416000,1023000,1429000,720000,827000,539000,998000,402000,989000,859000,5653000,200000000
29455000,25567000,3888000,2487000,1181000,1375000,1315000,1574000,834000,3128000,2412000,11261000,500000000
20942000,16274000,4668000,3015000,1302000,1056000,1074000,1755000,470000,1771000,931000,4900000,200000000
9846000,9274000,572000,1074000,488000,829000,308000,730000,400000,1069000,959000,3417000,500000000
25778000,20985000,4793000,2891000,1800000,2155000,1027000,1883000,1225000,1912000,2004000,6088000,200000000
14110000,13026000,1084000,1474000,816000,588000,654000,1584000,603000,1251000,1290000,4766000,100000000
19689000,16769000,2920000,2440000,1322000,1466000,634000,1955000,760000,795000,1361000,6036000,100000000
17908000,15983000,1925000,2416000,1327000,1213000,915000,1469000,422000,1541000,749000,5931000,1000000000
20538000,16067000,4471000,2575000,1262000,1787000,1117000,1308000,921000,954000,1428000,4715000,100000000
19391000,15845000,3546000,2567000,1036000,1656000,677000,2291000,949000,1075000,1620000,3974000,200000000
29036000,25860000,3176000,4164000,2055000,2003000,1510000,1604000,810000,3479000,1275000,8960000,200000000
6444000,5473000,971000,905000,326000,303000,318000,384000,210000,586000,297000,2144000,100000000
9409000,7515000,1894000,1197000,712000,593000,398000,648000,192000,1031000,407000,2337000,200000000
26888000,20881000,6007000,2555000,1152000,2050000,940000,3141000,1209000,1199000,1269000,7366000,50000000
20330000,16794000,3536000,2534000,1493000,1781000,1192000,1413000,419000,1439000,1563000,4960000,100000000
14594000,12070000,2524000,1685000,637000,849000,641000,1232000,505000,1591000,1349000,3581000,200000000
13422000,12475000,947000,1748000,567000,1063000,477000,1386000,501000,978000,916000,4839000,50000000
28684000,24259000,4425000,3967000,1564000,2127000,1479000,3300000,621000,1729000,2539000,6933000,500000000
21242000,16716000,4526000,2804000,1662000,933000,1025000,1962000,537000,1667000,1358000,4768000,200000000
13753000,11188000,2565000,1915000,1091000,934000,749000,1058000,601000,1068000,1256000,2516000,50000000
18527000,17424000,1103000,1565000,891000,911000,1109000,2204000,511000,2209000,916000,7108000,200000000
6309000,5111000,1198000,519000,290000,468000,198000,327000,263000,431000,470000,2145000,100000000
25844000,22471000,3373000,2535000,1399000,1822000,1349000,2798000,1098000,3013000,1840000,6617000,100000000
14332000,11655000,2677000,2050000,767000,1271000,855000,995000,462000,1619000,662000,2974000,200000000
20087000,15824000,4263000,2765000,1414000,1743000,927000,2154000,440000,1526000,1091000,3764000,200000000
17382000,15906000,1476000,2221000,1004000,703000,895000,1066000,353000,2009000,1201000,6454000,500000000
14986000,11627000,3359000,1934000,1067000,659000,648000,1113000,521000,1473000,1293000,2919000,100000000
5101000,4647000,454000,668000,357000,400000,208000,275000,113000,565000,481000,1580000,200000000
13546000,12090000,1456000,1977000,855000,1006000,689000,867000,566000,1508000,1140000,3482000,100000000
24628000,20045000,4583000,3405000,1806000,1971000,1469000,2271000,774000,1153000,1418000,5778000,20000000
23003000,18507000,4496000,2844000,1100000,1227000,753000,2376000,932000,2570000,1062000,5643000,1000000000
8081000,6989000,1092000,1023000,376000,666000,345000,920000,261000,640000,578000,2180000,100000000
21002000,19479000,1523000,1994000,1471000,1305000,1223000,1226000,816000,1910000,1274000,8260000,100000000
25606000,19627000,5979000,3227000,1275000,1360000,855000,1532000,1152000,1640000,1890000,6696000,200000000
16092000,14172000,1920000,1766000,645000,652000,797000,1862000,749000,1475000,1028000,5198000,200000000
23646000,17889000,5757000,2145000,1808000,1976000,1015000,2450000,485000,997000,1484000,5529000,500000000
17682000,13795000,3887000,2413000,1148000,1181000,730000,1552000,696000,1232000,1675000,3168000,100000000
12265000,10927000,1338000,1419000,709000,1089000,445000,1023000,453000,1107000,982000,3700000,200000000
17735000,14195000,3540000,2632000,1224000,1343000,626000,1083000,694000,989000,1422000,4182000,200000000
26591000,23808000,2783000,2652000,1418000,1171000,1210000,2036000,578000,2494000,1277000,10972000,1000000000
9755000,9218000,537000,1109000,762000,677000,403000,742000,216000,1037000,618000,3654000,200000000
20054000,17997000,2057000,2233000,857000,819000,897000,1913000,700000,862000,1720000,7996000,500000000
29329000,26923000,2406000,2594000,1925000,1991000,1052000,2696000,637000,2590000,2171000,11267000,100000000
26113000,23200000,2913000,2868000,1856000,1502000,1058000,1415000,1130000,2257000,1766000,9348000,100000000
12974000,11085000,1889000,1299000,762000,936000,777000,1419000,560000,1331000,1276000,2725000,200000000
19151000,17617000,1534000,1747000,1344000,1285000,786000,2214000,450000,1835000,923000,7033000,500000000
16667000,15511000,1156000,1663000,1285000,884000,706000,1744000,561000,1273000,827000,6568000,100000000
24740000,20986000,3754000,2383000,1726000,1190000,757000,1546000,936000,1691000,1826000,8931000,200000000
6993000,6157000,836000,919000,366000,421000,290000,434000,320000,831000,450000,2126000,50000000
8833000,7602000,1231000,726000,552000,789000,467000,891000,439000,708000,608000,2422000,50000000
11153000,8386000,2767000,1374000,853000,689000,507000,902000,229000,810000,813000,2209000,100000000
9116000,8019000,1097000,1215000,528000,706000,453000,953000,313000,1089000,434000,2328000,50000000
13983000,11596000,2387000,1589000,941000,599000,653000,773000,617000,761000,786000,4877000,50000000
15439000,13173000,2266000,2242000,905000,910000,512000,1546000,677000,847000,1115000,4419000,200000000
24951000,20024000,4927000,3232000,1119000,1722000,997000,1988000,905000,2947000,1288000,5826000,50000000
7732000,5822000,1910000,1023000,327000,600000,393000,403000,197000,716000,699000,1464000,20000000
22042000,18633000,3409000,2067000,1721000,1464000,1024000,1943000,811000,1798000,1918000,5887000,50000000
15556000,13688000,1868000,2091000,1003000,1023000,782000,1539000,494000,707000,1153000,4896000,200000000
24753000,22711000,2042000,3422000,1093000,1936000,1010000,2153000,799000,1695000,1725000,8878000,200000000
28290000,22279000,6011000,2979000,2102000,1575000,1013000,1658000,845000,2112000,2709000,7286000,500000000
7904000,7393000,511000,750000,481000,352000,434000,847000,192000,640000,673000,3024000,100000000
27489000,22918000,4571000,2940000,1948000,1577000,1135000,1985000,1159000,2060000,1162000,8952000,200000000
6940000,5533000,1407000,915000,313000,333000,345000,795000,286000,521000,371000,1654000,500000000
25725000,23451000,2274000,2810000,1962000,2271000,1066000,2919000,933000,3076000,1142000,7272000,200000000
13127000,11209000,1918000,1727000,835000,904000,759000,840000,402000,1548000,1309000,2885000,100000000
22994000,20019000,2975000,2022000,1599000,1433000,1374000,1916000,1027000,1078000,1502000,8068000,200000000
22809000,20709000,2100000,3112000,941000,1953000,1128000,1360000,566000,1220000,1096000,9333000,200000000
19672000,15218000,4454000,1922000,1035000,1672000,946000,1917000,650000,2269000,1210000,3597000,500000000
9679000,8165000,1514000,943000,491000,588000,535000,1061000,383000,634000,956000,2574000,1000000000
13110000,10209000,2901000,1591000,1022000,1098000,596000,1251000,585000,1166000,637000,2263000,100000000
19609000,15290000,4319000,1665000,930000,847000,1100000,1338000,774000,2036000,1204000,5396000,20000000
23167000,17467000,5700000,1896000,1582000,1953000,982000,1282000,545000,1799000,1310000,6118000,200000000
25718000,19702000,6016000,2527000,1073000,1428000,796000,1411000,593000,1063000,2248000,8563000,100000000
7322000,5883000,1439000,862000,351000,500000,423000,679000,158000,778000,304000,1828000,100000000
12779000,10414000,2365000,1834000,684000,683000,660000,1492000,470000,1284000,1237000,2070000,200000000
13100000,12015000,1085000,1824000,940000,1169000,594000,1293000,357000,567000,1207000,4064000,20000000
23629000,20418000,3211000,2702000,1692000,1030000,1379000,2390000,586000,2641000,1462000,6536000,200000000
6947000,5817000,1130000,574000,543000,433000,393000,507000,157000,754000,654000,1802000,200000000
24391000,22870000,1521000,2865000,1870000,1733000,811000,2220000,957000,1512000,1599000,9303000,200000000
12239000,11248000,991000,1583000,529000,866000,596000,883000,521000,568000,704000,4998000,1000000000
14957000,12292000,2665000,1552000,1095000,1151000,690000,1692000,684000,1081000,964000,3383000,20000000
9660000,8893000,767000,848000,561000,736000,515000,573000,366000,1063000,865000,3366000,200000000
7605000,6710000,895000,757000,568000,606000,297000,717000,233000,598000,560000,2374000,500000000
12924000,12181000,743000,1732000,563000,668000,391000,1307000,441000,808000,685000,5586000,100000000
7229000,6622000,607000,756000,527000,423000,257000,715000,283000,423000,319000,2919000,1000000000
15717000,13188000,2529000,2151000,729000,929000,571000,1069000,651000,1075000,1201000,4812000,50000000
20541000,16876000,3665000,2103000,1096000,1803000,796000,1726000,808000,2455000,1830000,4259000,200000000
21170000,19676000,1494000,1936000,871000,1280000,870000,2042000,1034000,2334000,1933000,7376000,50000000
14384000,12970000,1414000,1590000,647000,735000,736000,1657000,611000,1205000,1286000,4503000,200000000
9189000,8002000,1187000,1026000,531000,658000,296000,781000,391000,962000,651000,2706000,100000000
21541000,17524000,4017000,1748000,1567000,1322000,961000,1530000,961000,1407000,1350000,6678000,100000000
14015000,13104000,911000,1236000,994000,736000,630000,1080000,474000,1250000,1381000,5323000,100000000
19064000,16399000,2665000,1772000,942000,1444000,924000,1676000,532000,2094000,1818000,5197000,100000000
25809000,20715000,5094000,2270000,1189000,1280000,1015000,3054000,1148000,1792000,2197000,6770000,500000000
9496000,8754000,742000,987000,528000,681000,359000,892000,322000,988000,625000,3372000,50000000
23202000,19510000,3692000,3423000,1748000,1428000,1033000,1411000,887000,2068000,2283000,5229000,100000000
7364000,6347000,1017000,852000,321000,412000,367000,803000,242000,657000,460000,2233000,1000000000
14109000,12301000,1808000,1749000,871000,1232000,442000,885000,450000,611000,1144000,4917000,200000000
9791000,7473000,2318000,1028000,426000,550000,380000,516000,393000,1096000,565000,2519000,200000000
26003000,22646000,3357000,2669000,1529000,1492000,1394000,1483000,1039000,2655000,2344000,8041000,200000000
14852000,12782000,2070000,1212000,669000,1241000,661000,1560000,435000,637000,1361000,5006000,500000000
24869000,23316000,1553000,2861000,1075000,1155000,1456000,2813000,638000,2210000,1754000,9354000,500000000
22066000,19351000,2715000,2512000,1051000,1002000,1236000,1518000,528000,2199000,1627000,7678000,100000000
14725000,12447000,2278000,1341000,739000,797000,594000,1250000,345000,1526000,1427000,4428000,500000000
21723000,20596000,1127000,2900000,1109000,1512000,1125000,1994000,967000,1023000,1054000,8912000,100000000
19561000,18389000,1172000,2239000,1287000,1158000,748000,1551000,559000,1784000,1336000,7727000,100000000
16186000,14603000,1583000,1679000,683000,1140000,571000,883000,653000,949000,1161000,6884000,200000000
9444000,7570000,1874000,853000,408000,453000,533000,510000,270000,719000,840000,2984000,100000000
29821000,23658000,6163000,3538000,1418000,1583000,1208000,2410000,1193000,2449000,2585000,7274000,100000000
25939000,20484000,5455000,3442000,1942000,1771000,936000,2746000,1285000,1094000,1975000,5293000,200000000
5260000,4394000,866000,525000,343000,268000,310000,294000,116000,336000,260000,1942000,100000000
11086000,8679000,2407000,1057000,767000,678000,343000,714000,439000,1151000,714000,2816000,200000000
16007000,14768000,1239000,1865000,877000,1099000,656000,1103000,456000,1719000,728000,6265000,200000000
25991000,19890000,6101000,2362000,1261000,2305000,810000,2317000,584000,1726000,1274000,7251000,500000000
16951000,13370000,3581000,2147000,704000,746000,765000,899000,379000,1277000,908000,5545000,50000000
6258000,5195000,1063000,766000,373000,394000,263000,690000,195000,666000,376000,1472000,500000000
18608000,15516000,3092000,1602000,1172000,1113000,961000,1544000,674000,1043000,1236000,6171000,20000000
29314000,27194000,2120000,2420000,2224000,2381000,1718000,2461000,1156000,2887000,2440000,9507000,500000000
16361000,12922000,3439000,2019000,1232000,1391000,746000,1192000,606000,1188000,677000,3871000,100000000
25627000,21792000,3835000,2578000,1460000,2187000,988000,1662000,1203000,3049000,2366000,6299000,200000000
10538000,8280000,2258000,907000,600000,619000,592000,795000,259000,929000,1049000,2530000,200000000
17123000,15186000,1937000,2280000,795000,946000,824000,1951000,768000,888000,1675000,5059000,100000000
5388000,5064000,324000,549000,271000,337000,251000,305000,193000,290000,353000,2515000,100000000
26662000,22633000,4029000,2991000,2054000,1525000,951000,1446000,1222000,1125000,1705000,9614000,20000000
20648000,15976000,4672000,1994000,942000,1568000,645000,1198000,677000,2007000,1473000,5472000,200000000
20300000,18925000,1375000,2515000,1599000,1029000,890000,2119000,699000,1532000,1621000,6921000,200000000
10540000,9145000,1395000,1066000,634000,769000,483000,563000,344000,431000,597000,4258000,100000000
11492000,9000000,2492000,1698000,670000,992000,389000,843000,263000,553000,911000,2681000,50000000
20830000,18836000,1994000,2691000,979000,1125000,662000,1661000,507000,1315000,1220000,8676000,50000000
6961000,6248000,713000,624000,463000,514000,254000,595000,247000,515000,554000,2482000,100000000
7845000,6478000,1367000,856000,458000,370000,250000,394000,282000,903000,621000,2344000,200000000
7613000,5916000,1697000,814000,417000,351000,241000,640000,259000,634000,305000,2255000,50000000
6378000,5323000,1055000,749000,323000,292000,276000,406000,130000,711000,589000,1847000,100000000
7090000,6591000,499000,985000,302000,333000,385000,403000,249000,426000,366000,3142000,200000000
10231000,7818000,2413000,1236000,622000,520000,511000,893000,246000,681000,1019000,2090000,500000000
25949000,21873000,4076000,2188000,1363000,1768000,1307000,2649000,960000,2866000,1894000,6878000,200000000
15631000,13778000,1853000,1968000,1068000,1225000,592000,1804000,448000,1240000,988000,4445000,200000000
5153000,4119000,1034000,415000,355000,239000,156000,587000,256000,449000,234000,1428000,200000000
26320000,21366000,4954000,3543000,1402000,2198000,1145000,2051000,810000,2262000,2128000,5827000,200000000
9600000,8532000,1068000,1216000,641000,789000,397000,953000,428000,880000,591000,2637000,200000000
16394000,12769000,3625000,1666000,825000,1252000,958000,1618000,449000,1428000,1603000,2970000,200000000
7854000,7329000,525000,789000,543000,481000,253000,619000,202000,750000,718000,2974000,200000000
6284000,4865000,1419000,854000,255000,252000,335000,357000,167000,325000,298000,2022000,500000000
12196000,11340000,856000,1644000,562000,936000,507000,936000,366000,1181000,823000,4385000,500000000
8853000,8346000,507000,927000,441000,743000,486000,1058000,403000,461000,590000,3237000,500000000
18676000,14512000,4164000,1885000,1324000,1060000,838000,1659000,802000,1256000,1541000,4147000,100000000
24432000,22888000,1544000,2912000,1042000,1854000,1334000,1805000,808000,2602000,1377000,9154000,500000000
29462000,22147000,7315000,2374000,1400000,1270000,1296000,3007000,755000,2611000,2657000,6777000,50000000
16873000,15751000,1122000,1447000,917000,1273000,710000,1654000,362000,1980000,1628000,5780000,100000000
22820000,17897000,4923000,2027000,921000,991000,1344000,2066000,880000,1373000,1669000,6626000,500000000
19882000,15054000,4828000,1849000,1401000,1379000,816000,1881000,819000,2260000,1901000,2748000,100000000
9577000,8001000,1576000,1109000,598000,669000,519000,871000,366000,875000,570000,2424000,500000000
27883000,25545000,2338000,4167000,2120000,1537000,893000,3261000,977000,1939000,1646000,9005000,200000000
8257000,7577000,680000,1038000,341000,363000,263000,707000,406000,850000,689000,2920000,100000000
27040000,21577000,5463000,2279000,1375000,2365000,1167000,2469000,561000,3147000,1803000,6411000,50000000
10154000,9510000,644000,1186000,703000,678000,483000,843000,504000,1039000,574000,3500000,200000000
22701000,18452000,4249000,2605000,1521000,1566000,1095000,2089000,642000,920000,1330000,6684000,100000000
13362000,11924000,1438000,1204000,664000,945000,415000,1501000,421000,545000,1202000,5027000,200000000
19048000,14565000,4483000,2751000,1216000,1611000,970000,1405000,811000,954000,1501000,3346000,100000000
20686000,17360000,3326000,2293000,1484000,890000,701000,1752000,555000,2235000,1810000,5640000,200000000
15857000,14359000,1498000,2373000,655000,1343000,930000,1291000,655000,1586000,1027000,4499000,200000000
17796000,13893000,3903000,1947000,1223000,925000,712000,1386000,533000,1623000,1714000,3830000,200000000
20276000,15275000,5001000,2485000,1016000,890000,767000,2179000,978000,1938000,1895000,3127000,200000000
23720000,19003000,4717000,2072000,1848000,1728000,919000,1571000,597000,2125000,1000000,7143000,200000000
28285000,22923000,5362000,3162000,1740000,2513000,1644000,2404000,1356000,1919000,1751000,6434000,200000000
22075000,17188000,4887000,2135000,912000,946000,982000,2533000,965000,2155000,981000,5579000,100000000
